about,address,brands,company_link,company_name,company_type,details,equip_categories,equipment,failed_fields,master_category,phone_number,specific_category,det_Annual Sales,det_No of Employees,det_Quality Certifications,det_Registrations,det_Year Founded,det_companyName,det_website,det_Additional Activities,det_Key Personnel,det_Primary Company Type,city,state,zip
,"Sunnyvale, CA 94089 | map","['Adam', 'Alcojet', 'Alconox', 'Alcotabs', 'Being', 'Chemglass', 'Citranox', 'Desco', 'Dynalon Labware', 'G&amp;L', 'Hanna', 'Liquinox', 'Luminox', 'Menda', 'Metricide', 'Metro', 'Ohaus', 'Puritan', 'Puritan Products', 'Pyrex', 'Ricca', 'Ryan Herco', 'Spectrum Chemical', 'Techspray', 'Tergajet', 'Tergazyme', 'Tremont', 'Unitron']",https://labproinc.com/,Lab Pro Inc.,Distributor,"Distributor of fluorescent and infrared halogen lamps. Available in various voltages and input power. Serves the aerospace, agriculture, medical device or cleanroom manufacturing, communications, defense, electronics, janitorial, pharmaceutical and oil extraction industries.
Additional Agriculture Lamps details","['Lamps: Agriculture', 'Lamps', 'Lamps: Laboratory', 'Lamps: Specialty', 'Lighting', 'Lighting: Agricultural', 'Lighting: Electric', 'Lighting: Fluorescent', 'Lighting: Halogen', 'Lighting: Industrial']","['COVID-19 Response', 'Medical Laboratory Consumable Supplies', 'Wipes and Wipers', 'Gloves', 'Laboratory Equipment', 'Medical Personal Protective Equipment (PPE)', 'Medical Products and Hospital Equipment', 'Cleanroom Equipment', 'Disaster Preparedness Supplies', 'ESD Products', 'Hurricane Response', 'Medical/Hospital Consumable Supplies', 'Microscopes', 'Swabs', 'Adapters', 'Adhesives', 'Anemometers', 'Aprons', 'Autoclaves', 'Bags']",[],agriculture,888-850-1941,Agriculture Lamps,Not Available,Oct-49,Not Available,Not Available,1979'},Lab Pro Inc.,https://labproinc.com/,Failed,Failed,Failed,Sunnyvale,CA,94089
,"Torrance, CA 90505 | map",,,Pec Lamp USA Corp.,Distributor,"Dist of high intensity discharge, retrofit K HID lamps for use in agriculture & energy savings. Heat, ultraviolet UV curing lamps & sunlamps also available.",,,"['equipment', 'equip_categories', 'brands']",agriculture,800-211-5483,Agriculture Lamps,Not Available,Not Available,Not Available,Not Available,1996'},Pec Lamp USA Corp.,Failed,"Manufacturer, Custom Manufacturer",Not Available,Distributor,Torrance,CA,90505
,"Santa Clarita, CA 91387 | map",,http://www.hydrogrowled.com/,Hydro Grow LED,Manufacturer,LED grow lights emit narrow wavelengths of light which can be tailored to a plant's specific requirements.,"['Lamps: Agriculture', 'Lamps', 'Lighting: Grow, LED', 'Lights', 'Lights: Aquarium', 'Lights: LED']",,"['equipment', 'brands']",agriculture,661-654-9376,Agriculture Lamps,Under $1 Mil,9-Jan,Not Available,Not Available,2012'},Hydro Grow LED,http://www.hydrogrowled.com/,Failed,Not Available,Manufacturer,Santa Clarita,CA,91387
,"Salinas, CA 93901 | Locations","['3M', '75U', 'Aervoe', 'AirSoft', 'Alfagomma', 'American Biltrite', 'Asahi/America', 'Atlas', 'AVP', 'Banjo', 'Bilsom', 'Biltrite', 'Brennan', 'Cactus Mat', 'Chemprene', 'Clarity', 'CLEARBRAID', 'Clipmate', 'Coilflow', 'Coilhose', 'Cubitron', 'CuffMate']",http://www.greenrubber.com,"Green Rubber-Kennedy AG, LP",Distributor,"Distributor of FDA or USDA approved belting for agriculture and food processing industries. Fabric, modular plastic and hygienic conveyor belts are offered. Available in various sizes. Custom belts are also available. Urethane fabrication services are also offered. Suitable for baking, recycling, brewing, carton and cardboard box applications.
Additional USDA Approved Material Belting details","['Belting: USDA Approved Material', 'Belting: Conveyor', 'Belts', 'Belting', 'Belting: FDA or USDA Approved', 'Belting &amp; Belts: V', 'Belting: Abrasion Resistant', 'Belting: Agricultural', 'Belting: Anti-Static', 'Belting: Antimicrobial']","['Belts', 'Hose', 'Pumps', 'Tanks', 'COVID-19 Response', 'Motors', 'Plastics', 'Polyethylene', 'Polyurethane', 'Tier 2 Medical Mfg. Supplies, Materials, Components &amp; Services', 'Agricultural Equipment', 'Molding Services', 'Polyurethane Products', 'Rolls and Rollers', 'Sprayers', 'Wheels', 'Abrasive Compounds / Media', 'Absorbers', 'Activators', 'Adapters']",[],agriculture,855-970-4597,USDA Approved Material Belting,Not Available,Not Available,Not Available,Not Available,1990'},"Green Rubber-Kennedy AG, LP",http://www.greenrubber.com,Failed,Failed,Failed,Salinas,CA,93901
,"Long Beach, CA 90808 | map",,http://www.secureinktechnology.com,Secureinktechnology.com,Manufacturer,"Manufacturer of FDA approved & government spec. inks & coatings including anti-x-ray, photochromic, thermochromic, invisible, spectrometric, UV, flourescent, time sensitive & coin reactive. Applications include anti-piracy, tickets, pharmaceutical, secure documents, ID badges, prescription, banknote & gaming.","['Inks: FDA/USDA Approved', 'Inks', 'Inks: Conductive', 'Inks: Fluorescent', 'Inks: Government Specification', 'Inks: Invisible Marking', 'Inks: Luminous', 'Inks: Pharmaceutical', 'Inks: Security', 'Inks: Thermochromic']",,"['equipment', 'brands']",agriculture,562-716-3246,FDA/USDA Approved Inks,Not Available,Not Available,Not Available,Not Available,2001'},Secureinktechnology.com,http://www.secureinktechnology.com,Custom Manufacturer,Not Available,Manufacturer,Long Beach,CA,90808
,"Huntington Beach, CA 92649 | map","['Kudl-Pak', 'Rehrig Pacific', 'SpaceCase']",https://www.melmat.com/,"Melmat, Inc.",Manufacturer,"Custom manufacturer and distributor of material handling foam containers made from molded high density polyethylene (HDPE). Available in lid, color, drain plug and plaque options. Features include rugged designs, stackable, beveled fork straps and reinforced or lip inside corners. Suitable for storage, shipping, pharmaceutical, agricultural and food processing applications. FDA approved. Three year warranty. Stock items are available.
Additional USDA & FDA Approved Containers details","['Containers: USDA &amp; FDA Approved', 'Containers: Plastic', 'Plastic Containers: Custom', 'Containers: Clear Plastic', 'Containers: Plastic, Corrugated', 'Containers: Plastic, Hinged Lid', 'Containers: Shipping, Reusable &amp; Returnable', 'Containers', 'Containers: All-Purpose', 'Containers: Anti-Static']","['Containers', 'Cases', 'Bins', 'Boxes', 'Fabrication Services', 'Audio Visual (AV) Equipment', 'Cold Chain Packaging Supplies', 'Crates', 'Disaster Preparedness Supplies', 'Displays', 'Dividers', 'Dollies', 'Enclosures', 'Foams', 'Handling Equipment', 'Hardware', 'Hurricane Response', 'Insulation', 'Lids', 'Luggage']",[],agriculture,888-574-0710,USDA & FDA Approved Containers,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1971'},"Melmat, Inc.",https://www.melmat.com/,"Distributor, Custom Manufacturer","David Knegt, Sales Mgr.",Manufacturer,Huntington Beach,CA,92649
,"Riverside, CA 92506 | Locations",,https://e2global.com/,E2Global,Manufacturer,"Custom manufacturer of USDA and FDA approved tin containers with debossing, embossing, foil and colored/UV printing finishes. Available in 18 in. height and 1 to 18 in. diameter. Can be customized in circular or square and short or tall sizes and shapes. Capabilities include metal stamping, deep drawing, forming and welding. Secondary services such as engineering, designing and prototyping also provided. Low to high volume production offered. Serves the aerospace, agricultural, automotive, chemical, cosmetics, dental, food and beverage, medical, military, marine, pneumatics, printing, wastewater, transportation packaging and pharmaceutical industries. Blanket orders accepted. FDA approved.
Additional USDA & FDA Approved Containers details","['Containers: USDA &amp; FDA Approved', 'Cosmetic Containers', 'Containers', 'Containers: Clear Plastic', 'Containers: Custom &amp; Special', 'Containers: Plastic', 'Containers: Storage', 'Material Handling Containers', 'Packaging Containers', 'Plastic Containers: Custom']","['Bottles', 'Tubes', 'Disposable Products', 'Packaging Materials', 'Caps', 'COVID-19 Response', 'Medical Laboratory Consumable Supplies', 'Medical/Hospital Consumable Supplies', 'Swabs', 'Boxes', 'Containers', 'Applicators', 'Bags', 'Brochures', 'Cannabis Products', 'Cans', 'Cases', 'Clothing', 'Coveralls', 'Cryogenic Equipment']",['brands'],agriculture,877-830-5842,USDA & FDA Approved Containers,Not Available,Not Available,"<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>ISO 9001:2015</td></tr>\n</tbody></table>","<table><tbody><tr><td><img src=""//cdn.thomasnet.com/images/icons/grn_self_reported.png"" title=""Self Reported"" alt=""Self Reported""></td><td>FDA Registered</td></tr>\n</tbody></table>",2013'},E2Global,https://e2global.com/,Failed,Failed,Failed,Riverside,CA,92506
,"Rancho Cordova, CA 95742 | map","['Compacta', 'Genesis', 'Robopac', 'Rotowrap', 'VBoard']",https://westcoastsupplies.com/,West Coast Supplies Corp.,Distributor,"ISO 9001:2000 certified mfr & distributor of standard & custom USDA & FDA approved containers. Products also include RSC boxes, bin boxes, mailing boxes, folding boxes, meat pattie boxes, display boxes, bottle boxes, bulk container boxes & record file boxes. Custom printing available.
Additional USDA & FDA Approved Containers details","['Containers: USDA &amp; FDA Approved', 'Containers: Bulk', 'Containers: Cargo', 'Containers: Corrugated', 'Containers: Custom &amp; Special', 'Containers: Fibre', 'Containers: Insulated', 'Containers: Paper', 'Containers: Plastic', 'Containers: Shipping']","['Film', 'Wrap', 'Wrapping Machinery', 'Packaging Machinery', 'Strapping and Banding', 'Straps', 'Bags', 'Foams', 'Protectors', 'Applicators', 'Bagging Machinery', 'Balers', 'Banding Machinery', 'Bands', 'Bins', 'Boxes', 'Buckles', 'Bundlers', 'Cartons', 'Cases']",[],agriculture,888-853-1641,USDA & FDA Approved Containers,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1991'},West Coast Supplies Corp.,https://westcoastsupplies.com/,Failed,Failed,Failed,Rancho Cordova,CA,95742
,"Garden Grove, CA 92841 | map",,https://www.containersupplycompany.com/,"Container Supply Co., Inc.",Manufacturer,"Manufacturer of standard & custom USDA & FDA approved food grade containers including tubs & round & square pails. Available in high density polyethylene. Round pails come in sizes from 3 gal. to 5 gal., bottom dia. of 9.875 in., 10.125 in. & 10.250 in., top dia. up to 11.840 in., min. wall thicknesses from 0.060 in. to 0.090 in. & heights from 9.650 in. to 15.815 in. Buckets come with or without standard & tear-strip covers. Meet 21CFR177.1520 regulations.
Additional USDA & FDA Approved Containers details","['Containers: USDA &amp; FDA Approved', 'Containers', 'Containers: All-Purpose', 'Containers: Bulk', 'Containers: Bulk Liquid', 'Containers: Bulk, Reusable', 'Containers: Cargo', 'Containers: Chemical', 'Containers: Chemical, DOT', 'Containers: Corrugated']",,"['equipment', 'brands']",agriculture,562-594-0937,USDA & FDA Approved Containers,$1 - 4.9 Mil,100-199,Not Available,Not Available,1948'},"Container Supply Co., Inc.",https://www.containersupplycompany.com/,Failed,"Fernando Ceja, .",Custom Manufacturer,Garden Grove,CA,92841
,"Anaheim, CA 92801 | map",,http://www.usaextrudedplastics.com/index.html,USA Extruded Plastics,Manufacturer,"Custom manufacturer of plastic tube containers made from FDA-grade polycarbonate. Tube containers are made with .375 to 8 in. dia. with wall thicknesses ranging from .015 to .375 in. Stock items are available in 1.5 and 2 in. dia. acrylic with .09 in. wall thickness and 72 in. lengths. Clear tube containers are available as well as color-matched tinted or opaque tube containers. Tubing is used to package socks, flowers, sun glasses, windshield wipers, posters, blueprints, hobby supplies, fasteners, fishing rods and lures and various other products. Low and higher quantity runs. All products are made in the USA.","['Containers: USDA &amp; FDA Approved', 'Containers', 'Containers: Clear Plastic', 'Containers: Custom &amp; Special', 'Containers: Plastic', 'Containers: Plastic Tube', 'Containers: Polyethylene', 'Containers: Reclosable', 'Packaging Containers', 'Plastic Containers: Custom']","['Acrylic', 'Angles', 'Caps', 'Containers', 'Covers', 'Diffusers', 'Extrusion Services', 'Filters', 'Holders', 'Hooks', 'Lenses', 'Lights', 'Mailers', 'Mouldings', 'Packaging Materials', 'Panels', 'Plastics', 'Plugs and Stoppers', 'Profiles', 'Protectors']",['brands'],agriculture,800-410-4872,USDA & FDA Approved Containers,$1 - 4.9 Mil,Oct-49,Not Available,Not Available,1970'},USA Extruded Plastics,http://www.usaextrudedplastics.com/index.html,Failed,"Joy Teachman, Sales Mgr.",Custom Manufacturer,Anaheim,CA,92801
