,Annual Sales,Key Personnel,No of Employees,Primary Company Type,Quality Certifications,Registrations,Year Founded,companyName,website,Additional Activities,{'Website,"Primary Company Type': ""Manufacturers' Rep"", 'Key Personnel","Primary Company Type': ""Manufacturers' Rep"", 'Additional Activities","Additional Activities': ""Manufacturer, Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""John Czulno, President</li><li>Brandon Deardorff, Sales Mgr.</li><li>Russ Blais, Mgr.</li><li>Mike O'Rourke, Sales</li><li>Michael Griffin, Sales Manager"", 'Quality Certifications","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Custom Manufacturer, Manufacturers' Rep"", 'Key Personnel","Additional Activities': ""Distributor, Manufacturers' Rep, Service Company"", 'Key Personnel","Additional Activities': ""Manufacturer, Manufacturers' Rep, Service Company, Finishing Service Company"", 'Key Personnel","Additional Activities': ""Manufacturers' Rep"", 'Key Personnel","Key Personnel': ""Jim Nicholson, Sales Mgr. Midwest Region</li><li>Dennis O'Brien, Sales Mgr. SE Region"", 'Quality Certifications","Additional Activities': ""Distributor, Custom Manufacturer, Manufacturers' Rep, Finishing Service Company"", 'Key Personnel"
0,Not Available,Not Available,Not Available,Manufacturer,Not Available,Not Available,Not Available'},L&M Supply and Manufacturing,https://www.landmsupplyco.com/,,,,,,,,,,,,,,
1,$10 - 24.9 Mil,,50-99,,Not Available,Not Available,Not Available'},W.P. Law Inc.,http://www.wplawinc.com,,,,,,,,,,,,,,
2,$10 - 24.9 Mil,Not Available,10-49,Custom Manufacturer,"<table><tbody><tr><td><a href=""/certifications/download.html?heading=41365305&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=470045&amp;certid=402015"" target=""_blank""><img src=""//cdn.thomasnet.com/images/icons/grn_cert_icon.png"" title=""Certificate Available for Download"" alt=""Certificate Available for Download""></a></td><td><a href=""/certifications/download.html?heading=41365305&amp;what=irrigation&amp;cov=NA&amp;WTZO=copro+biz+det&amp;cid=470045&amp;certid=402015"" target=""_blank"">ISO 9001:2015</a></td></tr>\n</tbody></table>",Not Available,1945'},The National Die Co.,https://www.nationaldieco.com/,Finishing Service Company,,,,,,,,,,,,,
3,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available'},NAPCO Pipe & Fittings,https://www.napcopipe.com/en,,,,,,,,,,,,,,
4,Not Available,,Not Available,,Not Available,Not Available,Not Available'},Rainmaker Pump Stations,http://www.rainmakerpumpstations.com/,,,,,,,,,,,,,,
5,$100 - 249.9 Mil,Not Available,200-499,Manufacturer,Not Available,Not Available,1982'},Diamond Plastics Corp.,http://www.dpcpipe.com/,,,,,,,,,,,,,,
6,Under $1 Mil,Not Available,1-9,Distributor,Not Available,Not Available,2012'},IVF International Corp.,http://www.ivfinternational.net,,,,,,,,,,,,,,
7,Not Available,"Brad Dassow, Owner",Not Available,Service Company,Not Available,Not Available,Not Available'},Elkhart Irrigation,https://www.elkhartirrigation.com/,Turnkey Systems Integrator,,,,,,,,,,,,,
8,Under $1 Mil,Not Available,1-9,Turnkey Systems Integrator,Not Available,Not Available,1989'},American Pump,http://www.americanpumpco.com/,,,,,,,,,,,,,,
9,$1 - 4.9 Mil,Not Available,10-49,Manufacturer,Not Available,Not Available,1980'},"Wirthco Engineering, Inc.",https://www.wirthco.com/,Custom Manufacturer,,,,,,,,,,,,,
